Normalized_Tellingsområde;Normalized_Tingsted
Njauddâm / Neiden;Vadsø Tingsted
Paaččjokk / Pasvik;Vadsø Tingsted
Peäccam / Peisen ;Vadsø Tingsted
Anárjávri / Indiager;Inari Tingsted
Ohcejoha / Utsjok;Utsjok Tingsted
Dálvadas / Juxby;Juxby
Ávjovárri / Adver;Adver Tingsted
Guovdageaidnu / Kautokeino;Kautokeino Tingsted
Hasvåg Tingsted;Hasvåg Tingsted
Sørvær;Hasvåg Tingsted
Breivik;Hasvåg Tingsted
Risvåg;Hasvåg Tingsted
Hasvik;Hasvåg Tingsted
Grunnfjord;Hasvåg Tingsted
Stjernvåg;Hasvåg Tingsted
Loppa Tingsted;Loppa Tingsted
Loppa;Loppa Tingsted
Yttervær;Loppa Tingsted
Andsnes;Loppa Tingsted
Frakkfjorden;Loppa Tingsted
Hettekeila;Loppa Tingsted
Bergsfjord;Loppa Tingsted
Nuvsvåg;Loppa Tingsted
Øksfjord;Loppa Tingsted
Gammelvær - Loppa;Loppa Tingsted
Alta Tingsted;Alta Tingsted
Talvik;Alta Tingsted
Kråknes;Alta Tingsted
Isnestoften;Alta Tingsted
Rognsund;Alta Tingsted
Årøya;Alta Tingsted
Ytre Lokkarfjorden;Alta Tingsted
Alttávuonna / Altafjord;Alta Tingsted
Bossugohppi / Eggeskall;Alta Tingsted
Girenjárga / Korsnes;Alta Tingsted
Hammerfest Tingsted;Hammerfest Tingsted
Hammerfest;Hammerfest Tingsted
Forsøl;Hammerfest Tingsted
Eidvågen;Hammerfest Tingsted
Store Fagervika;Hammerfest Tingsted
Grunnvåg;Hammerfest Tingsted
Gåshopen;Hammerfest Tingsted
Slettnes;Hammerfest Tingsted
Hellefjord;Hammerfest Tingsted
Kårhamn;Hammerfest Tingsted
Klubbu & Ráhkkerávju / Klubben og Kvalsund;Hammerfest Tingsted
Ingøy Tingsted;Ingøy Tingsted
Ingøy;Ingøy Tingsted
Gåsnes;Ingøy Tingsted
Trollfjorden;Ingøy Tingsted
Gunnarnes;Ingøy Tingsted
Kokelv;Ingøy Tingsted
Tufjord;Ingøy Tingsted
Lille Latøya;Ingøy Tingsted
Havøysund;Ingøy Tingsted
Måsøy Tingsted;Måsøy Tingsted
Måsøy kirke;Måsøy Tingsted
Finnvika;Måsøy Tingsted
Gammelvær - Magerøya;Måsøy Tingsted
Tunes;Måsøy Tingsted
Bukstappen;Måsøy Tingsted
Hjelmsøya;Måsøy Tingsted
Store Knarrvika;Måsøy Tingsted
