Original;Normalized
;NA
Aaamundsen;Åmundsen
Aagesen;Ågesen
Aamund;Åmundsen
Aamunds:;Åmundsen
Aamundsen;Åmundsen
Aamunsen;Åmundsen
Abbelsen;Abelsen
Abelsen;Abelsen
Abrahamsen;Abrahamsen
Acelsen;Akepeisen
Achelsen;Akepeisen
Achepeifsen;Akepeisen
Achepeisen;Akepeisen
Achepeissen;Akepeisen
Achesen;Akepeisen
Achessen;Akepeisen
Adriansen;Adriansen
Afgutsen;Afgutsen
Airldsen;Arilsen
Airugssen;Ariusen
Akepeisen;Akepeisen
Ambsen;Ombsen
Ammots:;Ammotsen
Ammotsen;Ammotsen
Ammotssen;Ammotsen
Amnotssen;Ammotsen
Amodsen;Ammotsen
Amodssen;Ammotsen
Amodtzen;Ammotsen
Amots:;Ammotsen
Amotsen;Ammotsen
Amotssen;Ammotsen
Amotzen;Ammotsen
Amundsen;Amundsen
Amøts:;Ammotsen
Anchepeisen;Akepeisen
Anders:;Andersen
Andersdaater;Andersdatter
Andersdatter;Andersdatter
Anderseen;Andersen
Andersen;Andersen
Anderssen;Andersen
Andesen;Andersen
Andfindsen;Andfindsen
Andoersen;Andorsen
Andrsen;Andersen
Andserssen;Andersen
Anfindsen;Andfindsen
Anmotssen;Annotsen
Annodtsen;Annotsen
Annotsen;Annotsen
Annotzen;Annotsen
Anthonisen;Antonisen
Arentzen;Arentsen
Arilsen;Arilsen
Ariugssen;Ariusen
Ariusen;Ariusen
Arnesen;Arnesen
Arnessen;Arnesen
Asbiørnsen;Asbjørnsen
Asbiørsen;Asbjørnsen
Asbjørnsen;Asbjørnsen
Aschepeisen;Akepeisen
Asgouts:;Asgutsen
Asgutsen;Asgutsen
Aslachsen;Aslaksen
Aslachssen;Aslaksen
Aslacksen;Aslaksen
Aslagsen;Aslaksen
Aslaksen;Aslaksen
Axels:;Akselsen
Axelsen;Akselsen
Axselsen;Akselsen
Baardsen;Bårdsen
Baaresen;Bårdsen
Baattelsen;Bottelsen
Baltelsen;Baltesen
Bastiansen;Bastiansen
Bedixsen;Bendixsen
Bendixen;Bendixsen
Bendixsen;Bendixsen
Bendixssen;Bendixsen
Bendizsen;Bendixsen
Benixsen;Bendixsen
Berentsen;Berntsen
Berentzen;Berntsen
Berittzen;Beritsen
Beritzen;Beritsen
Berntsen;Berntsen
Berrendtsen;Berntsen
Bertelsen;Bertilsen
Bettelsen;Bertilsen
Biermundsen;Giermundsen
Biornsen;Bjørnsen
Biritssen;Beritsen
Biritzen;Beritsen
Birritsen;Beritsen
Biørnesen;Bjørnesen
Biørnsen;Bjørnsen
Biørnssen;Bjørnsen
Bottelsen;Bottelsen
Brandsen;Brandsen
Børresen;Børresen
Carelsen;Karlsen
Carlsen;Karlsen
Chirstophersen;Kristoffersen
Chrestensen;Kristensen
Christensen;Kristensen
Christofersen;Kristoffersen
Christoffers:;Kristoffersen
Christoffersen;Kristoffersen
Christohersen;Kristoffersen
Christophers:;Kristoffersen
Christophersen;Kristoffersen
