Original;Normalized
;
Slodtz;Slots
hr;Herr
unge;Unge
gl.;Gamle
Vnge;Unge
vnge;Unge
hr.;Herr
Klocheren;Klokkeren
Skydzskafer;Skyssskaffer
Cacstarus;Skyssskaffer
Klocher;Klokkeren
Vnderfogden;Underfogden
Kiøbsvend;Kjøpssvenden
Lehnsmand;Lensmannen
v: ;Unge
Chachstarus;Skyssskaffer
gl:;Gamle
v:;Unge
Chochstarus;Skyssskaffer
Lehns mand;Lensmannen
w:;Unge
Lille;Lille
Chocstarus;Skyssskaffer
Stor;Store
Chocstarus Kue;Skyssskaffer
u:;Unge
V:;Unge
field find;Fjellfinnen
Chakstarus;Skyssskaffer
Forarmed;Forarmede
St:;Store
Lensmand;Lensmannen
hr=;Herr
st:;Store
hr:;Herr
Store;Store
Ricke;Ricke
u;Unge
mag.;Magister
gl;Gamle
Unge;Unge
gl. ;Gamle
lille;Lille
gb;Gamle
den unge;Unge
