Original;Normalized
´;
A. P. Søn;Anders Pedersens Sønn
af inggen;Fra Ingen
Alen suenske;Svenske
And. p. Søn;Anders Pedersens Sønn
Andersbye;Fra Andersby
Archeliemester m/ Soldater;Arkeliemester med Soldater
aresbyd;Fra Utsjok
Aresbye;Fra Utsjok
aresbye;Fra Utsjok
Arilsbye;Fra Utsjok
Aritsby;Fra Utsjok
Aritzby;Fra Utsjok
Aritzbye;Fra Utsjok
Arrdzby;Fra Utsjok
Arresby;Fra Utsjok
Arresbye;Fra Utsjok
Arritzbye;Fra Utsjok
Arsbye;Fra Utsjok
Bacher;Baker
Bang;Bang
Beshyt;Beskyt
Beskyle;Beskyt
Beskylt;Beskyt
Beskyt;Beskyt
Beskytt;Beskyt
Bestyt;Beskyt
Biørne Mands bror;Bjørnemanns bror
Biørnemand;Bjørnemann
Birgets søn;Birgets sønn
Bjørnemand;Bjørnemann
Bjørnemandz broder;Bjørnemanns bror
Blaas;Blås
Bøgvad;Bøgvad
Bolt;Bolt
Bondøe;Fra Bonøy
bondøe;Fra Bonøy
Borkmand;Brokkmann
Brachen;Braker
bracher;Braker
Bracher;Braker
Brake;Braker
Braker;Braker
braker;Braker
Brems;Brems
Brochman;Brokkmann
Brochmans;Brokkmann
Brockmand;Brokkmann
Bugø;Fra Bugøy
Bugøe;Fra Bugøy
Bule;Bule
Bygvad;Bøgvad
Cachstarius;Skyssskaffer
dal;Dal
Dal;Dal
den unge;Unge
død;Død
Doordie kielsis broder;Dorte Kielsis bror
Doordis Søn;Dortes sønn
Dordj;Dortes sønn
Dordj søn;Dortes sønn
dorete sin søn;Dortes sønn
Doretis søn;Dortes sønn
Dortes Søn;Dortes sønn
Dortes søn;Dortes sønn
Dortessøn;Dortes sønn
Egeskal;Fra Bossekopp
Eggeschal;Fra Bossekopp
Eggeskal;Fra Bossekopp
Enetechces;Fra Enotek
Eneteches;Fra Enotek
Enetek;Fra Enotek
Eneteken;Fra Enotek
Enetekes;Fra Enotek
Enkesøn;Enkesønn
Ennetek;Fra Enotek
Ennetheches;Fra Enotek
F: Find;Fjellfinn
faag;Fåg
Faag kjøpmann f/ Henrich Jansen;Fåg
Fagervig;Fra Fagervik
Fagervik;Fra Fagervik
Falde;Falde
falde;Falde
Field find;Fjellfinn
Field Find;Fjellfinn
Fieldfin;Fjellfinn
fieldfind;Fjellfinn
Fieldfinne;Fjellfinn
Find;Finn
find;Finn
find skytzskafer;Finn
Fladøe;Fra Flatøy
Fog;Fåg
fog;Fåg
Forrige lensmann;Forrige Lensmann
fra Alten;Fra Alta
Fra Andersbye;Fra Andersby
Fra Aresbye;Fra Utsjok
fra aresbye;Fra Utsjok
Fra aresbye;Fra Utsjok
Fra bondøe;Fra Bonøy
Fra Bugøe;Fra Bugøy
Fra eidet;Fra Eidet
fra Eidet;Fra Eidet
Fra Ekerøe;Fra Ekkerøy
Fra Ennetek;Fra Enotek
Fra Finnevig;Fra Finnevik
Fra fladøe;Fra Flatøy
Fra Gåsnes;Fra Gåsnes
fra Haab;Fra Håp
Fra Hammergest;Fra Hammerfest
Fra Hasvog;Fra Hasvåg
Fra Havesund;Fra Havøysund
Fra havneberg;Fra Havneberg
Fra hellefiord;Fra Hellefjord
Fra Hellefiord;Fra Hellefjord
fra Ingen;Fra Ingøy
Fra kammerfjorden;Fra Kammerfjorden
Fra Karigiel;Fra Kariel
Fra Langfiord;Fra Langfjord
Fra laxefiord;Fra Laksefjord
fra Laxefiord;Fra Laksefjord
fra Lopen;Fra Loppa
Fra Matkurf;Fra Makkaur
Fra peisen;Fra Peisen
Fra qualsund;Fra Kvalsund
fra Qualsund;Fra Kvalsund
Fra Raskjeld;Fra Rasskeila
Fra Refsbotten;Fra Refsbotn
Fra Rolsøen;Fra Rolfsøy
Fra Sandskier;Fra Sandskjær
Fra Skalnes;Fra Skallnes
Fra Skarsvog;Fra Skarsvåg
fra sletnes;Fra Slettnes
Fra Sletnes;Fra Slettnes
Fra Stapen;Fra Stappen
Fra Tannen;Fra Tana
fra Tufiord;Fra Tufjord
fra Tybye;Fra Kiby
Fra Wanefiord;Fra Vannfjord
fra wasøe;Fra Vadsø
Fra Wassøe;Fra Vadsø
fra Wigen;Fra Viken
Fraa Kautscen;Fra Kautokeino
G: S:;Gammel og Stor
Gamle fra Grundenæs;Gammel Fra Grunnes
Gamle Pers sønn;Gammel Pers Sønn
Gammel;Gammel
gammel;Gammel
gl;Gammel
gl Fra Grundnes;Gammel Fra Grunnes
gl:;Gammel
GL:;Gammel
gl: b: h: s:;Gamle B. H. Sønn
gl: Niels Jonsens søn;Gamle Nils Jonsens sønn
gl: Olle mogensens søn;Gamle Ole Mogensens sønn
gl: P: J: Søn;Gamle P. J. Sønn
gl: P: Jl: C:;Gamle P. J. Sønn
Gl: P: P: s:;Gamle P. P. Sønn
gl: Peder Henrichsens søn;Gamle Peder Henriksens sønn
gl: Peder Nielsems søn;Gamle Peder Nilsens sønn
gl: Per Henrichsens søn;Gamle Peder Henriksens sønn
gl: Per Nielsens søn;Gamle Peder Nilsens sønn
gl: Per. h: s:;Gamle Peder Henriksens sønn
gl:P:h:s:;Gamle Peder Henriksens sønn
gl.;Gammel
gl. p. h søn;Gamle Peder Henriksens sønn
gl. p. h. søn;Gamle Peder Henriksens sønn
gl. P. H. Søn;Gamle Peder Henriksens sønn
gl. P. H. søn;Gamle Peder Henriksens sønn
gl. P. h. søn;Gamle Peder Henriksens sønn
gl. Ped: hinhsens søn;Gamle Peder Henriksens sønn
gl. Peder h: Søn;Gamle Peder Henriksens sønn
Grundnæs;Fra Grunnes
Gundeles S:;Gundeles sønn
Gundeles søn;Gundeles sønn
gundels søn;Gundeles sønn
Gundels Søn;Gundeles sønn
Gundelsøn;Gundeles sønn
Gundles søn;Gundeles sønn
Gundlessøn;Gundeles sønn
Gunniles søn;Gundeles sønn
Handelssvein f/ Hans Dreyer;Hans Dreyers Handelsvenn
handlende;Handlende 
Henriksen;Henriksen
Hopland;Hopland
Hr;Herr
Hr Nitter;Herr Nitter
hr. Vigandus;Herr Vigandus
i Adwehr;I Adver
i Alten;I Alta
i Aritsbye;I Utsjok
i Nordland;I Nordland
Indiager;Fra Enare
Jacob Søfrensen enche;Jakob Sørensens Enke
jamt;Jemt 
Jndiager;Fra Enare
Jølster;Jølstring
Jølstring;Jølstring
Jtem fader Peder Joesensen;Og faren Peder Jonsen
Jude;Jyde
Jyde;Jyde
Jyede;Jyde
Kauteken;Fra Kautokeino
kautiken;Fra Kautokeino
Kautken;Fra Kautokeino
Kiestt;Kiest
Kiøbmand;Kjøpmann
kiøbmand;Kjøpmann
Klingenberg;Klingenberg
Klocher;Klokker
Klocheren;Klokker
Klocker;Klokker
Kloker;Klokker
Klokker;Klokker
Klub;Fra Klubben
Kluben;Fra Klubben
Knag;Knag
Komag;Fra Komag
Korsfiord;Fra Korsfjord
Korsfjord;Fra Korsfjord
Korsnes;Fra Korsnes
Køutche;Fra Kautokeino
Koutchen;Fra Kautokeino
Koutken;Fra Kautokeino
Ku;Ku
Kue;Ku
Kupper;Kypper
Kypper;Kypper
Laas;Los
Lalle;Lalle
Langenes;Langnes
Langnes;Langnes
Latøen;Fra Flatøy
Lehensmand;Lensmann
Lehnsmand;Lensmann
Lille;Lille
lille;Lille
Lillienschiold;Lillienskjold
Lillienskiold;Lillienskjold
Lochert;Lockert
Lockert;Lockert
Loos;Los
Los;Los
Loss;Los
Luden;Luden
Madkurff;Fra Makkaur
Molde;Fra Molde
Morup;Morup
Morux;Morup
Nagel;Nagel
Nath;Nats sønn
Natler Kjøpsvend f/ Hans Dreyer;Natler
Nats:;Nats sønn
Natsen;Nats sønn
Natson;Nats sønn
Natsøn;Nats sønn
Nebel;Nebel
Nike Olsens søn;Nikke Olsens Sønn
Noerdlender;Nordlending
Nordfas;Nordfas
Nordfor;Nordfas
Nordmand;Nordman
Orjoos;Årjos
Østersiden;Fra Øst-Porsanger
P: N: S:;P. N. Sønn
P: Nixens S:;Peder Nikkesens Sønn
Paasche;Påske
Paaske;Påske
Panch;Pank
Paus;Paus
Pauss;Paus
ped mog: søn;Peder Mogensens Sønn
ped: Nickes søn;Peder Nikkesens Sønn
Pedr Nielsens søn;Peder Nilsens Sønn
Peisen;Fra Peisen
petr J: Søn;Peder J. Sønn
postfind;Postfinn
Postfinn;Postfinn
præsten;Prest
prest;Prest
Prest;Prest
Prestens lille søn;Prestens Lille sønn
Prousten;Prest
prousten;Prest
Puls;Puls
Quen;Kven
qvæn;Kven
Qven;Kven
qven;Kven
Qvend;Kven
Ragervig;Fra Fagervik
Rangsund;Fra Rognsund
Reen vogter;Reingjeter
Reenvogting;Reingjeter
Rell;Rell
Rognsund;Fra Rognsund
Rongsund;Fra Rognsund
Rue;Rue
Rul;Rull
Rull;Rull
Sahl;Sahlhuus
Salhuus;Sahlhuus
Sandskiær;Fra Sandskjær
Sandskier;Fra Sandskjær
Sandsskier;Fra Sandskjær
Sanschier;Fra Sandskjær
Schlyter;Sklyter
Sidker;Snekker
Skalnes;Fra Skallnes
Skreder;Skredder
Skyddtzskafer;Skyssskaffer
Skydtzskafer;Skyssskaffer
Skydzskafer;Skyssskaffer
skytzskafer;Skyssskaffer
Skytzskafer;Skyssskaffer
Smed;Smed
smed;Smed
Smel;Smell
Smell;Smell
Smidt;Schmitt
Smith;Schmitt
Snecker;Snekker
Snedker;Snekker
Snidker;Snekker
Soes;Sies
Sognepresten;Sognepresten
Som forleden aar war cachstarus;Forrige Skysskaffer
som forleden aar war chachstarus i Eggeskal;Forrige Skysskaffer i Bossekopp
St;Store
st:;Store
St:;Store
Stalnes;Fra Stalnes
stlx Jens Brokmands;sltx Jens Brokmands
Store;Store
stub;Stub
Suebye;Fra Sveby
Suedbye;Fra Sveby
Suenske;Svenske
Svenske;Svenske
Svindt;Schmitt
Tan;Fra Tana
Tanen;Fra Tana
tannen;Fra Tana
Tannen;Fra Tana
Thorio;Torios sønn
Torio;Torios sønn
Toriosøn;Torios sønn
Torrio;Torios sønn
u gl: Per Nielsens søn;Unge gamle Peder Nilsens sønn
U:;Unge
u:;Unge
u: p: h: s:;Unge Peder Henriksens Sønn
U: P: H: Søn;Unge Peder Henriksens Sønn
underfogd;Underfogden
Unge;Unge
unge;Unge
Unge p h. Søn;Unge Peder Henriksens Sønn
unge p. h: søn;Unge Peder Henriksens Sønn
unge ped:h: søn;Unge Peder Henriksens Sønn
unge Torio søn;Unge Torios sønn
v;Unge
v:;Unge
Vestsiden;Fra Vest-Porsanger
Vierdenhalben;Vierdenhalben
Vildbæl;Villpil
Vildbal;Villpil
Vildpel;Villpil
Vilpel;Villpil
Vilpil;Villpil
Vnderfoged;Underfogden
vnderfoget;Underfogden
